Depth ice/snow [m],Age model [ka]
0.0,-0.05
0.55,-0.044
1.1,-0.037
1.65,-0.032
2.2,-0.025
2.75,-0.018
3.3,-0.011
3.85,-0.003
4.4,0.005
4.95,0.014
5.5,0.022
6.05,0.031
6.6,0.038
7.15,0.047
7.7,0.055
8.25,0.064
8.8,0.073
9.35,0.082
9.9,0.091
10.45,0.1
11.0,0.11
11.55,0.119
12.1,0.129
12.65,0.14
13.2,0.15
13.75,0.161
14.3,0.171
14.85,0.181
15.4,0.191
15.95,0.202
16.5,0.212
17.05,0.223
17.6,0.234
18.15,0.245
18.7,0.255
19.25,0.267
19.8,0.278
20.35,0.289
20.9,0.301
21.45,0.312
22.0,0.324
22.55,0.336
23.1,0.347
23.65,0.359
24.2,0.371
24.75,0.383
25.3,0.395
25.85,0.407
26.4,0.419
26.95,0.43
27.5,0.442
28.05,0.454
28.6,0.466
29.15,0.478
29.7,0.49
30.25,0.503
30.8,0.516
31.35,0.529
31.9,0.542
32.45,0.555
33.0,0.568
33.55,0.581
34.1,0.594
34.65,0.606
35.2,0.619
35.75,0.632
36.3,0.645
36.85,0.658
37.4,0.672
37.95,0.687
38.5,0.701
39.05,0.715
39.6,0.729
40.15,0.744
40.7,0.759
41.25,0.772
41.8,0.786
42.35,0.799
42.9,0.812
43.45,0.825
44.0,0.837
44.55,0.849
45.1,0.862
45.65,0.875
46.2,0.889
46.75,0.903
47.3,0.917
47.85,0.932
48.4,0.947
48.95,0.961
49.5,0.976
50.05,0.99
50.6,1.005
51.15,1.019
51.7,1.032
52.25,1.047
52.8,1.061
53.35,1.075
53.9,1.089
54.45,1.104
55.0,1.118
55.55,1.133
56.1,1.147
56.65,1.161
57.2,1.174
57.75,1.188
58.3,1.201
58.85,1.215
59.4,1.229
59.95,1.244
60.5,1.258
61.05,1.273
61.6,1.287
62.15,1.302
62.7,1.316
63.25,1.33
63.8,1.345
64.35,1.359
64.9,1.373
65.45,1.387
66.0,1.401
66.55,1.416
67.1,1.432
67.65,1.448
68.2,1.463
68.75,1.479
69.3,1.494
69.85,1.51
70.4,1.525
70.95,1.541
71.5,1.556
72.05,1.572
72.6,1.588
73.15,1.604
73.7,1.621
74.25,1.637
74.8,1.654
75.35,1.67
75.9,1.686
76.45,1.702
77.0,1.72
77.55,1.737
78.1,1.754
78.65,1.771
79.2,1.787
79.75,1.804
80.3,1.822
80.85,1.839
81.4,1.856
81.95,1.873
82.5,1.889
83.05,1.905
83.6,1.922
84.15,1.938
84.7,1.956
85.25,1.973
85.8,1.99
86.35,2.007
86.9,2.025
87.45,2.044
88.0,2.061
88.55,2.078
89.1,2.095
89.65,2.113
90.2,2.13
90.75,2.147
91.3,2.165
91.85,2.184
92.4,2.202
92.95,2.219
93.5,2.237
94.05,2.253
94.6,2.271
95.15,2.289
95.7,2.306
96.25,2.327
96.8,2.347
97.35,2.367
97.9,2.385
98.45,2.405
99.0,2.424
99.55,2.443
100.1,2.463
100.65,2.481
101.2,2.5
101.75,2.518
102.3,2.535
102.85,2.553
103.4,2.571
103.95,2.589
104.5,2.607
105.05,2.625
105.6,2.642
106.15,2.659
106.7,2.678
107.25,2.697
107.8,2.715
108.35,2.733
108.9,2.75
109.45,2.767
110.0,2.784
110.55,2.801
111.1,2.818
111.65,2.835
112.2,2.852
112.75,2.87
113.3,2.888
113.85,2.906
114.4,2.924
114.95,2.943
115.5,2.961
116.05,2.98
116.6,3.0
117.15,3.019
117.7,3.037
118.25,3.056
118.8,3.074
119.35,3.092
119.9,3.11
120.45,3.129
121.0,3.147
121.55,3.165
122.1,3.186
122.65,3.207
123.2,3.227
123.75,3.247
124.3,3.267
124.85,3.287
125.4,3.307
125.95,3.326
126.5,3.346
127.05,3.365
127.6,3.385
128.15,3.405
128.7,3.425
129.25,3.445
129.8,3.465
130.35,3.484
130.9,3.503
131.45,3.522
132.0,3.541
132.55,3.559
133.1,3.578
133.65,3.598
134.2,3.618
134.75,3.636
135.3,3.654
135.85,3.672
136.4,3.691
136.95,3.709
137.5,3.727
138.05,3.746
138.6,3.764
139.15,3.783
139.7,3.802
140.25,3.822
140.8,3.842
141.35,3.861
141.9,3.881
142.45,3.9
143.0,3.92
143.55,3.94
144.1,3.96
144.65,3.98
145.2,3.999
145.75,4.019
146.3,4.038
146.85,4.057
147.4,4.076
147.95,4.095
148.5,4.115
149.05,4.134
149.6,4.154
150.15,4.173
150.7,4.193
151.25,4.212
151.8,4.231
152.35,4.25
152.9,4.269
153.45,4.288
154.0,4.307
154.55,4.326
155.1,4.347
155.65,4.367
156.2,4.387
156.75,4.406
157.3,4.426
157.85,4.445
158.4,4.465
158.95,4.484
