,Synthetic_Temperature
1950,0.0
1951,0.028111517484056284
1952,0.058855934877484674
1953,0.10443765349983825
1954,0.11529014695680313
1955,0.1521761553192737
1956,0.16634997439826477
1957,0.22161291945061162
1958,0.2928631943208527
1959,0.2400946590595484
1960,0.3220018971596616
1961,0.38129309467301337
1962,0.44194448360649724
1963,0.3431849863351828
1964,0.4328807656596546
1965,0.43029353391088154
1966,0.496089314091052
1967,0.5679112461085732
1968,0.5408429558969543
1969,0.5439270672943147
1970,0.5168823395831331
1971,0.7644692325422465
1972,0.6429281208911979
1973,0.7902685384230027
1974,0.6613763569310197
1975,0.7555621999296984
1976,0.9905044089153124
1977,0.7779668715277722
1978,0.8046791881354218
1979,0.8041273787961587
1980,0.8943138445660679
1981,0.9685055729122469
1982,0.9788110290572043
1983,1.0655914665322004
1984,1.2727467348871329
1985,0.8998872550185756
1986,1.3750866101795938
1987,1.156834948110359
1988,1.2217123646893373
1989,1.444626753882218
1990,1.4277436007473348
1991,1.5278401490609776
1992,1.2482757425544058
1993,1.1069175445021484
1994,1.3922835504615287
1995,1.3284460840785899
1996,1.5954525663033028
1997,1.5057144937602687
1998,1.7378840761794723
1999,1.7265614251870878
2000,1.8766338168334853
2001,1.7192116127443142
2002,1.4998006294842696
2003,1.397069131184478
2004,1.7043444668068792
2005,1.5136588160918891
2006,1.4375692851653483
2007,1.6636377911740328
2008,2.2148408496989798
2009,2.0338988021996474
2010,2.0904050418238755
2011,1.8639634235529332
2012,2.080292402806074
2013,2.264880121754257
2014,1.6826638829987637
2015,1.7717117029259675
2016,2.1285717676068794
2017,2.360000982749228
2018,2.275696749895703
2019,2.2849662823356973
2020,1.897099926539674
2021,2.363659221953057
2022,1.887667801428622
2023,2.2084739096357406
